modulus,mask_proportion,shots,successes
155,0.9,45000,2382.92236328125
155,0.01,45000,23435.2578125
159,0,45000,19230.611328125
159,0.5,45000,10004.640625
159,0.1,45000,17805.431640625
159,0.9,45000,1985.3214111328125
159,0.01,45000,19131.84375
161,0,45000,14890.4052734375
161,0.5,45000,7832.35498046875
161,0.1,45000,13992.36328125
161,0.9,45000,1539.4459228515625
161,0.01,45000,14873.06640625
177,0,45000,11582.7490234375
177,0.5,45000,6799.068359375
177,0.1,45000,10997.3349609375
177,0.9,45000,1240.13134765625
177,0.01,45000,11533.4697265625
183,0,45000,19968.76953125
183,0.5,45000,9420.240234375
183,0.1,45000,17843.646484375
183,0.9,45000,1941.55419921875
183,0.01,45000,19781.974609375
185,0,45000,18130.93359375
185,0.5,45000,9196.6142578125
185,0.1,45000,17177.767578125
185,0.9,45000,1961.1151123046875
185,0.01,45000,18144.474609375
187,0,45000,24094.240234375
187,0.5,45000,13314.662109375
187,0.1,45000,22801.328125
187,0.9,45000,2572.504638671875
187,0.01,45000,24062.927734375
201,0,45000,17646.443359375
201,0.5,45000,9301.251953125
201,0.1,45000,16323.94140625
201,0.9,45000,1798.8411865234375
201,0.01,45000,17517.43359375
203,0,45000,21438.76953125
203,0.5,45000,10819.1181640625
203,0.1,45000,19634.234375
203,0.9,45000,2155.0947265625
203,0.01,45000,21381.53515625
205,0,45000,24303.0390625
205,0.5,45000,12536.744140625
205,0.1,45000,21888.099609375
205,0.9,45000,2484.56494140625
205,0.01,45000,24290.486328125
209,0,45000,11582.294921875
209,0.5,45000,5770.24609375
209,0.1,45000,10881.2158203125
209,0.9,45000,1208.060302734375
209,0.01,45000,11551.6259765625
213,0,45000,19902.87109375
213,0.5,45000,10453.904296875
213,0.1,45000,18377.037109375
213,0.9,45000,2019.3917236328125
213,0.01,45000,19822.654296875
215,0,45000,23885.091796875
215,0.5,45000,11973.6806640625
215,0.1,45000,22088.126953125
215,0.9,45000,2405.9267578125
215,0.01,45000,23852.8125
217,0,45000,11640.65625
217,0.5,45000,6500.431640625
217,0.1,45000,10992.12109375
217,0.9,45000,1255.6807861328125
217,0.01,45000,11589.1455078125
219,0,45000,19438.873046875
219,0.5,45000,10083.51171875
219,0.1,45000,18107.3203125
219,0.9,45000,2034.756591796875
219,0.01,45000,19314.708984375
221,0,45000,24511.75390625
221,0.5,45000,12664.490234375
221,0.1,45000,22754.96484375
221,0.9,45000,2522.0966796875
221,0.01,45000,24506.45703125
235,0,45000,24968.7578125
235,0.5,45000,13523.3701171875
235,0.1,45000,23508.32421875
235,0.9,45000,2558.25146484375
235,0.01,45000,24953.169921875
237,0,45000,16479.291015625
237,0.5,45000,8415.501953125
237,0.1,45000,15209.51171875
237,0.9,45000,1710.0091552734375
237,0.01,45000,16328.591796875
247,0,45000,17995.33984375
247,0.5,45000,10389.298828125
247,0.1,45000,17173.294921875
247,0.9,45000,1930.206298828125
247,0.01,45000,18020.24609375
249,0,45000,11455.875
249,0.5,45000,6730.2998046875
249,0.1,45000,10905.833984375
249,0.9,45000,1212.19189453125
249,0.01,45000,11421.89453125
253,0,45000,14590.724609375
253,0.5,45000,6985.84375
253,0.1,45000,12634.4423828125
253,0.9,45000,1383.19189453125
253,0.01,45000,14413.8271484375
259,0,45000,16625.44140625
259,0.5,45000,8045.162109375
259,0.1,45000,15674.44140625
259,0.9,45000,1741.908447265625
259,0.01,45000,16573.953125
265,0,45000,21739.939453125
265,0.5,45000,10674.580078125
265,0.1,45000,19959.361328125
265,0.9,45000,2261.230224609375
265,0.01,45000,21605.783203125
267,0,45000,26111.291015625
267,0.5,45000,12957.5185546875
267,0.1,45000,23729.025390625
267,0.9,45000,2665.979736328125
267,0.01,45000,26037.296875
287,0,45000,19422.775390625
287,0.5,45000,10324.1513671875
287,0.1,45000,18442.044921875
287,0.9,45000,2072.52587890625
287,0.01,45000,19349.478515625
291,0,45000,19668.630859375
291,0.5,45000,10117.8232421875
291,0.1,45000,18013.048828125
291,0.9,45000,2019.6383056640625
291,0.01,45000,19504.375
295,0,45000,25020.744140625
295,0.5,45000,13192.1923828125
295,0.1,45000,22667.96484375
295,0.9,45000,2488.3193359375
295,0.01,45000,24871.8984375
299,0,45000,18846.603515625
299,0.5,45000,10065.3642578125
299,0.1,45000,17546.390625
299,0.9,45000,1950.3935546875
299,0.01,45000,18814.634765625
301,0,45000,13672.861328125
301,0.5,45000,7137.765625
301,0.1,45000,12687.115234375
301,0.9,45000,1397.3529052734375
301,0.01,45000,13704.1396484375
303,0,45000,17667.515625
303,0.5,45000,9137.8974609375
303,0.1,45000,16147.6533203125
303,0.9,45000,1776.316162109375
303,0.01,45000,17585.263671875
305,0,45000,20389.427734375
305,0.5,45000,10874.58984375
305,0.1,45000,18746.443359375
305,0.9,45000,2111.494140625
305,0.01,45000,20312.59765625
309,0,45000,16469.75
309,0.5,45000,8590.8798828125
309,0.1,45000,15024.70703125
309,0.9,45000,1679.9267578125
309,0.01,45000,16307.2685546875
319,0,45000,19707.41796875
319,0.5,45000,10399.521484375
319,0.1,45000,18430.1875
319,0.9,45000,2049.46337890625
319,0.01,45000,19646.87890625
321,0,45000,11507.8994140625
321,0.5,45000,6719.24365234375
321,0.1,45000,10916.8837890625
321,0.9,45000,1215.4354248046875
321,0.01,45000,11454.98828125
323,0,45000,23794.822265625
323,0.5,45000,10839.8271484375
323,0.1,45000,21221.03125
323,0.9,45000,2331.906494140625
323,0.01,45000,23739.80078125
327,0,45000,21306.140625
327,0.5,45000,11231.869140625
327,0.1,45000,19234.51953125
327,0.9,45000,2155.672607421875
327,0.01,45000,21111.462890625
329,0,45000,14959.26953125
329,0.5,45000,7712.04541015625
329,0.1,45000,13793.865234375
329,0.9,45000,1533.596923828125
329,0.01,45000,14921.853515625
335,0,45000,22124.25390625
335,0.5,45000,11728.9521484375
335,0.1,45000,20980.259765625
335,0.9,45000,2310.141845703125
335,0.01,45000,22109.759765625
339,0,45000,23629.755859375
339,0.5,45000,11967.6103515625
339,0.1,45000,21720.96875
339,0.9,45000,2426.7529296875
339,0.01,45000,23563.513671875
341,0,45000,10746.583984375
341,0.5,45000,5118.7939453125
341,0.1,45000,10122.55078125
341,0.9,45000,1098.8614501953125
341,0.01,45000,10725.71484375
355,0,45000,24275.83984375
355,0.5,45000,13011.0380859375
355,0.1,45000,22574.919921875
355,0.9,45000,2472.717529296875
355,0.01,45000,24167.6953125
365,0,45000,20628.458984375
365,0.5,45000,10504.82421875
365,0.1,45000,18887.3046875
365,0.9,45000,2124.404541015625
365,0.01,45000,20513.802734375
371,0,45000,18455.087890625
371,0.5,45000,9880.076171875
371,0.1,45000,16813.7265625
371,0.9,45000,1871.366943359375
371,0.01,45000,18403.208984375
377,0,45000,18135.712890625
377,0.5,45000,9494.86328125
377,0.1,45000,16481.958984375
377,0.9,45000,1841.8201904296875
377,0.01,45000,17990.84375
381,0,45000,18177.146484375
381,0.5,45000,9147.4375
381,0.1,45000,16405.265625
381,0.9,45000,1821.750732421875
381,0.01,45000,17998.880859375
391,0,45000,24306.451171875
391,0.5,45000,13691.55078125
391,0.1,45000,23072.744140625
391,0.9,45000,2550.405029296875
391,0.01,45000,24219.86328125
393,0,45000,11375.64453125
393,0.5,45000,6769.2001953125
393,0.1,45000,10913.3046875
393,0.9,45000,1209.36083984375
393,0.01,45000,11339.1083984375
395,0,45000,24151.935546875
395,0.5,45000,13092.6494140625
395,0.1,45000,22296.65234375
395,0.9,45000,2445.25
395,0.01,45000,24066.666015625
403,0,45000,17139.146484375
403,0.5,45000,8538.6630859375
403,0.1,45000,16276.404296875
403,0.9,45000,1795.125244140625
403,0.01,45000,17051.693359375
407,0,45000,16592.376953125
